Rank,NCT Number,Title,Status,Study Results,Conditions,Phases,Enrollment,Start Date,Completion Date,URL
22,NCT03217812,"A Study of VELCADE (Bortezomib) Melphalan-Prednisone (VMP) Compared to Daratumumab in Combination With VMP (D-VMP), in Participants With Previously Untreated Multiple Myeloma Who Are Ineligible for High-Dose Therapy (Asia Pacific Region)",Recruiting,No Results Available,Multiple Myeloma,Phase 3,210,23-Nov-17,31-Oct-22,https://ClinicalTrials.gov/show/NCT03217812
23,NCT03180736,Comparison of Pomalidomide and Dexamethasone With or Without Daratumumab in Subjects With Relapsed or Refractory Multiple Myeloma Previously Treated With Lenalidomide and a Proteasome InhibitorDaratumumab/Pomalidomide/Dexamethasone vs Pomalidomide/Dexamethasone,Recruiting,No Results Available,Multiple Myeloma,Phase 3,302,12-Jun-17,1-Jul-23,https://ClinicalTrials.gov/show/NCT03180736
24,NCT02579863,Study of Lenalidomide and Dexamethasone With or Without Pembrolizumab (MK-3475) in Participants With Newly Diagnosed Treatment Naive Multiple Myeloma (MK-3475-185/KEYNOTE-185),"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,640,19-Oct-15,30-Sep-20,https://ClinicalTrials.gov/show/NCT02579863
25,NCT02197221,Bortezomib-Melphalan Conditioning Regimen vs Melphalan for Frontline Transplant Eligible Patients With Multiple Myeloma,Recruiting,No Results Available,Multiple Myeloma,Phase 3,300,Jan-15,Sep-20,https://ClinicalTrials.gov/show/NCT02197221
26,NCT02312258,A Study of Oral Ixazomib Maintenance Therapy in Patients With Newly Diagnosed Multiple Myeloma Not Treated With Stem Cell Transplantation,Recruiting,No Results Available,Multiple Myeloma,Phase 3,761,23-Apr-15,31-Jul-19,https://ClinicalTrials.gov/show/NCT02312258
27,NCT02412878,"A Study in Subjects With Relapsed and Refractory Multiple Myeloma Receiving Carfilzomib in Combination With Dexamethasone, Comparing Once-weekly Versus Twice-weekly Carfilzomib Dosing (ARROW)","Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,478,30-Sep-15,20-Dec-19,https://ClinicalTrials.gov/show/NCT02412878
28,NCT01109004,Stem Cell Transplant With Lenalidomide Maintenance in Patients With Multiple Myeloma (BMT CTN 0702),"Active, not recruiting",Has Results,Multiple Myeloma,Phase 3,758,May-10,Dec-20,https://ClinicalTrials.gov/show/NCT01109004
29,NCT03301220,A Study of Subcutaneous Daratumumab Versus Active Monitoring in Participants With High-Risk Smoldering Multiple Myeloma,Recruiting,No Results Available,Smoldering Multiple Myeloma,Phase 3,360,7-Nov-17,22-Dec-25,https://ClinicalTrials.gov/show/NCT03301220
30,NCT01146834,Trial of Three Stem Cell Mobilization Regimens for Multiple Myeloma,"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,180,Mar-11,Dec-22,https://ClinicalTrials.gov/show/NCT01146834
31,NCT01335399,"Phase III Study of Lenalidomide and Dexamethasone With or Without Elotuzumab to Treat Newly Diagnosed, Previously Untreated Multiple Myeloma","Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,750,18-May-11,31-May-18,https://ClinicalTrials.gov/show/NCT01335399
32,NCT01090089,Combination of Lenalidomide and Dexamethasone in Treatment of Multiple Myeloma,Recruiting,No Results Available,Multiple Myeloma,Phase 3,348,1-Mar-10,Jan-20,https://ClinicalTrials.gov/show/NCT01090089
33,NCT03029234,Carfilzomib in Combination With Dexamethasone (Kd) in Chinese Subjects With Relapsed & Refractory Multiple Myeloma,Recruiting,No Results Available,Relapsed and Refractory Multiple Myeloma,Phase 3,120,31-Mar-17,31-May-21,https://ClinicalTrials.gov/show/NCT03029234
34,NCT01554852,"Use of Thalidomide, Lenalidomide, Carfilzomib, Bortezomib and Vorinostat in the Initial Treatment of Newly Diagnosed Multiple Myeloma Patients","Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,4420,May-10,Dec-22,https://ClinicalTrials.gov/show/NCT01554852
35,NCT03158688,"Study of Carfilzomib, Daratumumab and Dexamethasone for Patients With Relapsed and/or Refractory Multiple Myeloma.",Recruiting,No Results Available,Relapsed or Refractory Multiple Myeloma,Phase 3,450,13-Jun-17,21-Jul-22,https://ClinicalTrials.gov/show/NCT03158688
36,NCT01564537,A Phase 3 Study Comparing Oral Ixazomib Plus Lenalidomide and Dexamethasone Versus Placebo Plus Lenalidomide and Dexamethasone in Adult Patients With Relapsed and/or Refractory Multiple Myeloma,"Active, not recruiting",Has Results,Relapsed Multiple Myeloma|Refractory Multiple Myeloma,Phase 3,722,1-Aug-12,1-Dec-20,https://ClinicalTrials.gov/show/NCT01564537
37,NCT01685814,"Lenalidomide, Adriamycin, Dexamethasone (RAD) Versus Lenalidomide, Bortezomib, Dexamethasone (VRD) for Induction in Newly Diagnosed Multiple Myeloma Followed by Response-adapted Consolidation and Lenalidomide Maintenance","Active, not recruiting",No Results Available,Previously Untreated Symptomatic Multiple Myeloma,Phase 3,406,May-12,May-20,https://ClinicalTrials.gov/show/NCT01685814
38,NCT01891643,PH III Study of Lenalidomide and Dexamethasone With or Without Elotuzumab to Treat Previously Untreated Multiple Myeloma (ELO 1 Substudy),"Active, not recruiting",No Results Available,"Newly Diagnosed, Previously Untreated Multiple Myeloma",Phase 3,750,30-Sep-13,31-Jul-20,https://ClinicalTrials.gov/show/NCT01891643
39,NCT02495922,A Phase III Trial on the Effect of Elotuzumab in VRD Induction /Consolidation and Lenalidomide Maintenance in Patients With Newly Diagnosed Myeloma,"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,564,Jun-15,Mar-21,https://ClinicalTrials.gov/show/NCT02495922
40,NCT02181413,A Study of Oral Ixazomib Citrate (MLN9708) Maintenance Therapy in Participants With Multiple Myeloma Following Autologous Stem Cell Transplant,"Active, not recruiting",No Results Available,Multiple Myeloma|Autologous Stem Cell Transplant,Phase 3,656,30-Jun-14,25-Jun-25,https://ClinicalTrials.gov/show/NCT02181413
41,NCT01413178,A Randomized Trial to Compare Busulfan + Melphalan 140 mg/m2 With Melphalan 200 mg/m2 as Preparative Regimen for Autologous Hematopoietic Stem Cell Transplantation for Multiple Myeloma,"Active, not recruiting",No Results Available,Myeloma,Phase 3,205,30-Sep-11,Sep-18,https://ClinicalTrials.gov/show/NCT01413178
42,NCT01241708,Tandem Auto Stem Cell Transplant With Melphalan Followed by Melphalan and Bortezomib in Patients With Multiple Myeloma,Recruiting,No Results Available,Multiple Myeloma|Auto Stem Cell Transplant,Phase 3,142,8-Apr-10,Feb-23,https://ClinicalTrials.gov/show/NCT01241708
43,NCT01239797,Phase III Study of Lenalidomide and Dexamethasone With or Without Elotuzumab to Treat Relapsed or Refractory Multiple Myeloma,"Active, not recruiting",Has Results,Lymphoma|Multiple Myeloma,Phase 3,761,28-Mar-11,1-Oct-18,https://ClinicalTrials.gov/show/NCT01239797
44,NCT03151811,A Study of Melflufen-dex or Pomalidomide-dex for RRMM Patients Refractory to Lenalidomide,Recruiting,No Results Available,Multiple Myeloma,Phase 3,450,13-Jun-17,Dec-21,https://ClinicalTrials.gov/show/NCT03151811
45,NCT03275285,"Multinational Clinical Study Comparing Isatuximab, Carfilzomib And Dexamethasone To Carfilzomib And Dexamethasone In Relapse And/Or Refractory Multiple Myeloma Patients",Recruiting,No Results Available,Plasma Cell Myeloma,Phase 3,300,19-Oct-17,Nov-23,https://ClinicalTrials.gov/show/NCT03275285
46,NCT02990338,"Multinational Clinical Study Comparing Isatuximab, Pomalidomide, and Dexamethasone to Pomalidomide and Dexamethasone in Refractory or Relapsed and Refractory Multiple Myeloma Patients","Active, not recruiting",No Results Available,Plasma Cell Myeloma,Phase 3,300,22-Dec-16,23-Nov-20,https://ClinicalTrials.gov/show/NCT02990338
47,NCT03143049,Pomalidomide-Cyclophosphamide-Dexamethasone (PCD) Versus Pomalidomide-Dexamethasone (PD) in Relapse or Refractory Myeloma,Recruiting,No Results Available,Relapse Multiple Myeloma,Phase 3,120,13-Sep-17,1-Jun-22,https://ClinicalTrials.gov/show/NCT03143049
48,NCT02112175,Lenalidomide vs Placebo Maintenance Therapy Following Melphalan Prednisone Velcade® Induction Therapy in NDMM,"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,46,30-Apr-14,12-Oct-20,https://ClinicalTrials.gov/show/NCT02112175
49,NCT01863550,Bortezomib or Carfilzomib With Lenalidomide and Dexamethasone in Treating Patients With Newly Diagnosed Multiple Myeloma,Recruiting,No Results Available,Plasma Cell Myeloma,Phase 3,1080,2-Dec-13,null,https://ClinicalTrials.gov/show/NCT01863550
50,NCT03246529,"A Phase III, Safety, Tolerability and Efficacy of Combination Treatment of BL-8040 and G-GSF as Compared to Placebo and G-CSF for thE MobilizatioN of HematopoiEtic Stem Cells for Autologous TransplantatIon in SubjectS With MM",Recruiting,No Results Available,Multiple Myeloma,Phase 3,207,18-Jan-18,22-Sep-19,https://ClinicalTrials.gov/show/NCT03246529
51,NCT02575144,GEM-CLARIDEX: Ld vs BiRd,Recruiting,No Results Available,Multiple Myeloma,Phase 3,338,Sep-15,Dec-19,https://ClinicalTrials.gov/show/NCT02575144
52,NCT03440411,"Pom-dex Versus Pom-Cyclo-dex in MM Patients With Biochemical or Clinical Relapse, During Lena Maintenance Treatment",Recruiting,No Results Available,Multiple Myeloma,Phase 3,260,18-Feb-16,18-Feb-23,https://ClinicalTrials.gov/show/NCT03440411
53,NCT01208662,"Randomized Trial of Lenalidomide, Bortezomib, Dexamethasone vs High-Dose Treatment With SCT in MM Patients up to Age 65","Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,660,Sep-10,Sep-18,https://ClinicalTrials.gov/show/NCT01208662
54,NCT01169337,Lenalidomide or Observation in Treating Patients With Asymptomatic High-Risk Smoldering Multiple Myeloma,"Active, not recruiting",No Results Available,Light Chain Deposition Disease|Smoldering Plasma Cell Myeloma,Phase 3,180,5-Oct-10,null,https://ClinicalTrials.gov/show/NCT01169337
55,NCT01191060,Study Comparing Conventional Dose Combination RVD to High-Dose Treatment With ASCT in the Initial Myeloma up to 65 Years,"Active, not recruiting",No Results Available,Myeloma,Phase 3,700,Oct-10,Sep-20,https://ClinicalTrials.gov/show/NCT01191060
56,NCT02322320,"Continued, Long-Term Follow-Up and Lenalidomide Maintenance Therapy for Patients on BMT CTN 0702 Protocol (BMT CTN 07LT)",Recruiting,No Results Available,Multiple Myeloma,Phase 3,450,Mar-15,Dec-18,https://ClinicalTrials.gov/show/NCT02322320
57,NCT02145598,Treatment Optimization in Patients With Untreated Multiple Myeloma,"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 2|Phase 3,85,Aug-13,Dec-18,https://ClinicalTrials.gov/show/NCT02145598
58,NCT03319667,"Clinical Benefit of SAR650984, Bortezomib, Lenalidomide and Dexamethasone Combination in NDMM Patients Not Eligible for Transplant",Recruiting,No Results Available,Plasma Cell Myeloma,Phase 3,440,7-Dec-17,Jan-25,https://ClinicalTrials.gov/show/NCT03319667
59,NCT03170882,An Efficacy Study Comparing Oral Ixazomib/Dexamethasone and Oral Pomalidomide/Dexamethasone in Relapsed and/or Refractory Multiple Myeloma,Recruiting,No Results Available,Relapsed and/or Refractory Multiple Myeloma,Phase 2|Phase 3,300,25-Jul-17,31-Mar-23,https://ClinicalTrials.gov/show/NCT03170882
60,NCT01345019,Denosumab Compared to Zoledronic Acid in the Treatment of Bone Disease in Patients With Multiple Myeloma,"Active, not recruiting",Has Results,Cancer|Hematologic Malignancies|Multiple Myeloma|Oncology|Bone Metastases|Multiple Myeloma Bone Lesions,Phase 3,1718,17-May-12,1-Feb-19,https://ClinicalTrials.gov/show/NCT01345019
61,NCT01091883,Study Comparing the Safety and Effectiveness of Magnetic Resonance Guided Focused Ultrasound (MRgFUS) and External Beam Radiation (EBRT) for Treatment of Metastatic Bone Tumors and Multiple Myeloma,Recruiting,No Results Available,Bone Cancer|Bone Metastases|Pain,Phase 3,60,May-10,Mar-19,https://ClinicalTrials.gov/show/NCT01091883
62,NCT01951885,"Tac, Mini-MTX, MMF Versus Tac, MTX for GVHD Prevention",Recruiting,No Results Available,Chronic Myelogenous Leukemia|Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|Acute Biphenotypic Leukemia|Myelodysplastic Syndrome|Myeloproliferative Neoplasm|Non-Hodgkin Lymphoma|Hodgkins Disease|Chronic Lymphocytic Leukemia|Multiple Myeloma,Phase 3,100,21-May-14,Jul-19,https://ClinicalTrials.gov/show/NCT01951885
63,NCT02609828,Phase 3 Study on the Efficacy and Safety of Tanezumab in Patients With Cancer Pain Due to Bone Metastasis Who Are Taking Background Opioid Therapy.,Recruiting,No Results Available,Neoplasm Metastasis|Musculoskeletal Pain,Phase 3,185,28-Oct-15,21-Jul-20,https://ClinicalTrials.gov/show/NCT02609828
